id,campaign,clients,start_date,price,spend,remaining,sound_url,status,tracker,campaign_started,send_tracker,send_final_report,invoice,salespeople,report_notes,client_notes,paid_ops,created_at,updated_at
30,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
31,,Pharaoh Phonix,7/25/2025,$500.00,$350.00,$0.00,https://open.spotify.com/track/67hWh7CkTlBSDqpeNxM8Qf,Completed,https://music.cobrand.com/promote/d0127905-5669-4252-ae1b-8655195ffafa/share?token=be02uoohQiQF2SITbl3SYZWlk9bf6DB_rB7hrQx5h1Y,checked,checked,checked,Sent,Jared,,"Attached Spotify URL for bubonic which is already out. Five singles slated between July 18 and December 7 2025—“Bubonic,” “Luv Dis Lyfe” (feat. Dres), “TBA (Sept 26),” “TBA (Oct 31),” and “TBA (Dec 7)”. For meta ads, will be monthly for instagram growth. Curated placements with ~$350 media spend across up to three singles — $500",,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
32,,Dr3w Lovely,7/23/2025,$450.00,$315.00,$0.00,https://open.spotify.com/track/1YhO2U2ooAw5bwK3BYdFKk,Completed,https://music.cobrand.com/promote/781ab76f-1668-4e2f-aeda-59a4e46b10c7/share?token=JQgkgky8rWU02yjxJvpDBNue2q9yqon4J16fQzwWXUs,checked,checked,checked,Paid,Jared,,"'- Spotify Playlisting (100,000 streams) - $1,100",,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
33,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
34,,3-5+ posts) - $450,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
35,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
36,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
37,,Blanke,7/18/2025,$2590.00,$1650.00,$0.00,https://www.instagram.com/reels/audio/3138778592964625?igsh=MWdnY2twaDJyaWlmMA==,Completed,https://music.cobrand.com/promote/070769e5-64fc-4df0-9480-40e57d05634d/share?token=00FslWvfa-0OAeO7z8xYINbiEAsdaw6fB4-c3BlpT8Y,checked,checked,checked,Sent,Jared,,"@blankemusic, @linney",,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
38,,Insomniac (Helene),7/18/2025,$350.00,$245.00,$0.00,https://www.instagram.com/reels/audio/708888628085564?igsh=NTc4MTIwNjQ2YQ==,Completed,https://music.cobrand.com/promote/de08ae12-ebc1-4e76-a786-7991adcadd05/share?token=Ewc_iuGH12AqNToapzQI3EGyVKJAlX2YFt3PGAH8a7A,checked,checked,checked,Sent,Jared,,@diplo @hugelthug,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
39,,Insomniac (Helene),7/18/2025,$350.00,$245.00,$0.00,https://www.instagram.com/reels/audio/26193685006889505?igsh=NTc4MTIwNjQ2YQ==,Completed,https://music.cobrand.com/promote/80ae8c2c-057f-4852-8b42-31e03c199940/share?token=6sSTVb2JqnazgIAO0zPHcSpzQMmiCjydluDbfn4vlOI,checked,checked,checked,Sent,Jared,,@francismercier,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
123,,Segan,3/17/2025,$350.00,$135.00,$0.00,https://open.spotify.com/track/1IzwekNme3RkOs7Djz8G2Q,Completed,https://music.cobrand.com/promote/f475559b-6505-42ee-943d-a97fa57994af/share?token=134tZLb5ZUT5TWGrtrNblAnf7kIQdUfqVUpvkAUVGfM,,checked,checked,Paid,Katt,,,checked,2025-09-23T21:39:18.953804+00:00,2025-09-23T21:39:18.953804+00:00
40,,Traveler,7/17/2025,$500.00,$350.00,$0.00,https://soundcloud.com/artistinfluence/abyssal-reef-radio-edit/s-OYPSU2dCorI?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing&si=9ce0ac6caf9b48afafc0fc285f41149e,Completed,https://music.cobrand.com/promote/354ea778-1b60-4cde-978f-4261ffedabd1/share?token=uPMRVuonhsBz74Ag_YBC1xJqBULJ9AieqHKKSXflGvQ,checked,checked,checked,Paid,Jared,,'@travelermusic (i think),checked,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
41,,mother.,7/16/2025,$350.00,$245.00,$0.00,https://open.spotify.com/track/5mru4dvoMsMGnj4dnT9cZi,Completed,https://music.cobrand.com/promote/81ce5a17-5df9-4945-a82c-087f0a391d5f/share?token=x3y_EbWwKRSNBjlKn6nj7UcxTxC9TQS8taqpCuSiyHE,checked,checked,checked,Paid,Jared,,@therealmother.dj,checked,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
42,,PROPPAGANDA,7/15/2025,$3278.60,$2522.00,$978.00,N/A,Completed,https://music.cobrand.com/promote/e0c6d85c-b502-4d0b-af6d-8ca2ff94c3f8/share?token=AtvIZnJtP5ykkalDALANSfoxg8AtgXQcs5L7dsdXUxI,checked,checked,,Paid,Katt,,@proppaganda,checked,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
43,,Jared,7/11/2025,$300.00,$300.00,$0.00,https://www.instagram.com/reels/audio/1606672513383945?igsh=YnI3Z2lzMnh3aGJ2,Completed,https://music.cobrand.com/promote/26847d4a-c85b-4381-b063-36e72a4cb345/share?token=Rm9ECOb3vrxplgYHg6A1XtD3xsYbabjAHyY_NN_6sOM,checked,checked,checked,N/A,Jared,,@ianasher @thatkahlo,checked,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
44,,Funkshway Records,7/11/2025,$350.00,$245.00,$0.00,https://www.instagram.com/reels/audio/678128508322148?igsh=OXd3dW1sbGtrOGtl,Completed,https://music.cobrand.com/promote/65b2de27-299c-417d-aa63-3405900f6410/share?token=fOi-enzfjmOr0he3YSjFcIwKwSd-JlpKUPolBiX1fWw,checked,checked,checked,Paid,Jared,,@lostboyjay,checked,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
45,,Thursday Cigs,6/27/2025,$600.00,$420.00,$0.00,TBD,Completed,https://music.cobrand.com/promote/f809778e-d2d2-4ac7-bf70-ec7fe26f0fc4/share?token=VEU15fxvK3A9K7DjcawWEHZ78gCPhv1VS-6hLJufmx8,,checked,checked,Sent,Jared,,@thursdaycigs,checked,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
46,,Insomniac (Helene),6/27/2025,$350.00,$245.00,$0.00,https://open.spotify.com/track/4E6M6muDadCiTQ72KUELbB,Completed,https://music.cobrand.com/promote/a5cc6456-075e-4643-961f-fbb68b147702/share?token=P1HNRSqaA1JRFznpDhGdYWI1KXAtECJdchD2KF38na4,checked,checked,checked,Sent,Philippe,,@calussa,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
47,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
48,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
49,,Insomniac (Helene),6/25/2025,$350.00,$245.00,$0.00,https://www.instagram.com/reels/audio/1002916375128763?igsh=NTc4MTIwNjQ2YQ==,Completed,https://music.cobrand.com/promote/07582de3-d1c5-45cd-8516-9910bfbb3839/share?token=z1wsaBiRfX4Z1EsdLoB3FEodKG1WjIatxOg6fnaJWok,checked,checked,checked,Sent,Philippe,,@elibrownbeats,checked,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
50,,Insomniac (Helene),6/25/2025,$250.00,$175.00,$0.00,https://www.instagram.com/reels/audio/1040754481350539?igsh=NTc4MTIwNjQ2YQ==,Completed,https://music.cobrand.com/promote/ad7c6c74-40e4-4add-b3e3-0e632d0cb54e/share?token=a1qTk_GpbWYPNldHTgduI1oyJEhMMH5eHytA0Z0q2eY,checked,checked,checked,Sent,Philippe,,,checked,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
51,,SAYSO,6/24/2025,$350.00,$245.00,$0.00,https://soundcloud.com/saysosounds/ltwb,Completed,https://music.cobrand.com/promote/6937e25a-78a2-4b21-a3c9-4e252943d885/share?token=N5C2U_ilm5Tp55euRSI7w9NhUTbwzHSu2EhZ6XV4RRY,checked,checked,checked,Sent,Jared,,@fareoh,checked,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
52,,Amit Prim8,6/24/2025,$250.00,$150.00,$0.00,https://soundcloud.com/krupamode/murda-beatz-x-rich-the-kid-wake-em-up-krupa-remix,Completed,https://music.cobrand.com/promote/caaefe88-b750-4a60-bd43-2096c8909f33/share?token=dxZG_wgbL_ALp43DF4Hk7Rtwhr7gP5T_MNFMkWXA9fs,checked,checked,checked,Sent,Jared,,please use the right krupa handle,checked,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
53,,Ambrxse,6/24/2025,$325.00,$227.50,$0.00,https://open.spotify.com/album/3izFIAaF5LngzwM2SK2602?si=iDF01LGvQI-OqEmq6_813g,Completed,https://music.cobrand.com/promote/67af9e0d-ea9d-49cf-9610-f8d95fdcfc44/share?token=7hsqRQubURqq9CkP6VLd1tXWTKSvRC5YExDRTSqZL_s,checked,checked,checked,Sent,Jared,,@ambrxse just double check plz,checked,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
54,,Afterparty,6/20/2025,$250.00,$135.00,$0.00,https://soundcloud.com/afterpartyus/raw/s-fJ1ZoD7ddWh?ref=clipboard&p=i&c=1&si=C7C35974ED4F4726BE8D1C56DD29A7BE&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,Completed,https://music.cobrand.com/promote/76635c86-4787-4ca7-b060-3bf6f8e2e853/share?token=GzX8PSrTgwBFcrCnIpP_HNrfHq8G9Au93BO2sLzd4ak,checked,checked,checked,Sent,Jared,,@afterpartyus,checked,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
55,,Luhv,6/20/2025,$250.00,$135.00,$0.00,https://soundcloud.com/luhvmusic/with-u-mstr-v1/s-PsissbuAynh?si=e73f5c3811a24702ae77f6d0a3cbd465&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,Completed,https://music.cobrand.com/promote/77f68c21-f755-43a7-8561-550e9df4d66d/share?token=h8zmhTKRsiGO8-PtG8JAshD6dD6yhuq2vKDmlZh0bvg,checked,checked,checked,Sent,Jared,,,checked,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
56,,Traveler,6/18/2025,$500.00,$350.00,$0.00,https://www.dropbox.com/scl/fi/8osm3ynb74q4bas240gpy/Remember-Me-V2-Radio-Master-RG_SDMI-5.22.25-320.mp3?rlkey=8vmqyp3q29t6rsdgloshop4k7&st=hlel7arw&dl=0,Completed,https://music.cobrand.com/promote/bd97d1ba-22bf-43f0-8df8-5c229ba05f25/share?token=gDPpMqmF0noXRjZehx71TBm26VFm3kXlK1Furz1X0Ks,checked,checked,checked,Sent,Jared,,@travelermusic,checked,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
57,,Eye In The Sky,6/18/2025,$500.00,$350.00,$0.00,https://www.instagram.com/reels/audio/9345309245523336/,Completed,https://music.cobrand.com/promote/f2314bb7-9572-4c97-a389-57648d2b00f1/share?token=4teF1xBl8hEsrTW3LNuF3eeUOZNzJpmG5zFPfbjAZCI,checked,checked,checked,Sent,Jared,,@capyac,checked,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
58,,Reece Rosé,6/13/2025,$500.00,$350.00,$0.00,https://soundcloud.com/djreecerose/sets/dissonance-ep-monta/s-UAFTD3lGzup?si=3c6881be33db4b3fb12e4ce83fef54b9&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,Completed,https://music.cobrand.com/promote/393af0c5-75b3-4390-8bc8-8fe50a8c868d/share?token=cXDoaRzPSIEFb5jyNAZy0upodmsbFtd76OM4o2ObERc,checked,checked,checked,Paid,Jared,,"same guy as before find his tag plz, and we'll get the focus song from him shortly!",checked,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
59,,Kluster Flux,6/5/2025,$500.00,$350.00,$0.00,https://open.spotify.com/track/6g9p3ONm3urpjjiD7lYozk,Completed,https://music.cobrand.com/promote/d71c8471-52e1-4c01-958b-8e9151d09943/share?token=tqsyUFExtEWaulQ17K6kHLa7EzQUMEiTJzNk8IwoGAQ,checked,checked,checked,Paid,Jared,,GET GOING ASAP PLEASE I FORGOT,checked,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
60,,Traveler,6/5/2025,$350.00,$245.00,$0.00,https://soundcloud.com/travelermusic/r3hab-feat-r-i-t-u-a-l-hallucinations-traveler-remix,Completed,https://music.cobrand.com/promote/f418eec8-9ded-49ea-b607-e58f702bbcff/share?token=v83fS08zB9640FbVIeBnrmuZnmN_kH7o0LXt8aw7VpM,checked,checked,,Paid,Jared,,@travelermusic,checked,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
61,,EAZLEY,6/4/2025,$250.00,$135.00,$0.00,https://soundcloud.com/iameazley/v3-on-my-mind-remix/s-pU6CyfQ99lb?ref=clipboard&p=i&c=1&si=D1550A8D04DA4AD7A1D757C2DED37320&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,Completed,https://music.cobrand.com/promote/4939a92d-d92c-474e-8a7d-84f913df27ae/share?token=sDOQuhGU1ebXLmRMuucrPiDNyEViyVjFTCfRwZJOFrw,checked,checked,,Paid,Jared/Katt,,https://www.instagram.com/iameazley/,checked,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
62,,The Big Blind,5/30/2025,$350.00,$284.00,$0.00,https://www.instagram.com/reels/audio/670419952633902?igsh=d3J1eDdmeG40ZXBx,Completed,https://music.cobrand.com/promote/5b9e0fe5-444f-4962-b95e-021d551c1a18/share?token=undefined,checked,checked,checked,TBD,Nate,After world + techno is love 2x pages,Instagram profile: @thebigblindmusic,checked,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
63,,PROPPAGANDA,5/20/2025,$700.00,$495.00,$0.00,https://open.spotify.com/track/6uzwoESfbJfNgi4XdE5IqT,Completed,https://music.cobrand.com/promote/f05de9b1-4eec-4d21-a988-212711381590/share?token=nLAtOjrQjblOuff_tAgLjqofM9TffFxq5pflN2GxdxM,checked,checked,checked,Paid,Katt,,@proppaganda,checked,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
64,,Kluster Flux,5/20/2025,$1200.00,$840.00,$0.00,https://open.spotify.com/track/3o5mNSJZimpo1bWyVR5dQE,Completed,https://music.cobrand.com/promote/90b0fd7b-d2fb-4d31-9612-616b4c4b2cf1/share?token=1jBJxeKPFLtaJejOnpxyDBrBJoi-TmggWu24271UtoA,checked,checked,checked,Sent,Jared,1 posts got deleted from DF that needs redo,@klusterflux,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
65,,"that'll knock his socks off. need to go HARD. this guy can spend MAJOR money with us. ,checked",,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
66,,BILLYTHEKID,5/12/2025,$325.00,$180.00,$0.00,https://open.spotify.com/track/4v3bSKBQdUQmLousLqcffe,Completed,https://music.cobrand.com/promote/46f1c26a-08c4-47af-8bcd-a644f1b8a7d7/share?token=QK4mH5w5uTYHJ8bzejgEdeU62fcx6HIsNUSr4A3QDTE,,checked,checked,Paid,Jared,,@billythekiddub,checked,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
67,,ADA,5/10/2025,$4000.00,$2800.00,,https://open.spotify.com/track/7lDGg8CFySbkKUrjgzcLlY,Completed,https://music.cobrand.com/promote/b6d3c76f-e4fb-47fe-b103-7d7da5f67c20/share?token=KCyEmMgHj-Q7gPwfqPje492PifLVx8s210rRXyUXZwk,checked,checked,checked,Paid,Jared,,@edmtrain,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
68,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
69,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
70,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
71,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
72,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
73,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
74,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
75,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
76,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
77,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
78,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
79,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
80,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
81,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
82,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
83,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
84,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
85,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
86,,,,,,,,,,,,,,,,,,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
87,,EAZLEY,5/6/2025,$250.00,$135.00,,https://on.soundcloud.com/KDirLw7Fr6EKEUeTA,Completed,https://music.cobrand.com/promote/e9dd6486-627d-4da2-b177-d73b21c6e0dc/share?token=0dSEVdLQpgDkXPeyo4Ua96ZCIdNrPguuSEjV_5HWibU,checked,checked,checked,Paid,Jared/Katt,,@iameazley,checked,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
88,,Ozz Gold,5/2/2025,$350.00,$245.00,$0.00,https://soundcloud.com/ozzgold/believe/s-qVUXKiDWT2Q,Completed,https://music.cobrand.com/promote/b85077e4-0f17-4ed9-8079-d8a3219e9e57/share?token=HUT7SIl7lz2qUVLCjOTbp_-aCNTKVtQ6gSOpZypva60,checked,checked,checked,Paid,Katt,,@ozzgold,checked,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
89,,A Dying Light,5/2/2025,$550.00,$385.00,,https://open.spotify.com/track/1KGMgXe5Q5V7SvzFsekDNw,Completed,https://music.cobrand.com/promote/cc6f502f-c420-4040-bcc0-96283413b459/share?token=blTPmR9AW59-HbRP7jiYh1nxquPCRN0If9NfiuVL3F0,checked,checked,checked,Paid,Jared,,@adyinglightmusic,checked,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
90,,Traveler,5/2/2025,$550.00,$385.00,,https://open.spotify.com/track/0ehFhAL9qXecLJDlDDhCU5,Completed,https://music.cobrand.com/promote/b38bd1ef-49e6-4cc9-9dd8-fcbaef210064/share?token=8POmp9yl_OmqIzqY2NZ-qgv5XHt7XZyiGz2vs4oxMFE,checked,checked,checked,Paid,Jared,,,checked,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
91,,Insomniac (Helene),5/1/2025,$250.00,$135.00,$0.00,https://www.instagram.com/reels/audio/693551716548623?igsh=NTc4MTIwNjQ2YQ==,Completed,https://music.cobrand.com/promote/ccdd15f6-fe13-44a8-a95e-661575c37ff1/share?token=C8wbhwgN3ufL3PFO7ZPYDly1wU3BGYW0dWozSi2znIo,checked,checked,checked,Paid,Jared,,"@reapernoises, @basstripper",checked,2025-09-23T21:39:18.948113+00:00,2025-09-23T21:39:18.948113+00:00
