Campaign,Clients,Service Type,Goal,Remaining,Desired Daily,URL,Start Date,Status,Confirm Start Date?,Ask for Access,Ask Client for YT SS,Views Stalled?,Paid R?,Sale Price,Invoice,Comments,In Fixer?,Client Notes
Denzel Curry - Hot One (BLXK MNTN Remix),BLXK MNTN,WW Website,10000,,400,https://www.youtube.com/watch?v=bJF3sleJRzg,9/3/2025,Active,,,,,Yes,$150,Sent,https://docs.google.com/spreadsheets/d/1Q_qbEZiSR0GbK8V-meBz-cCDWkqWL7nhq38ZKNc6Hpo/edit?usp=sharing,,
 James Brown & Laidback Luke “I Got Soul (Super Bad)” [Lyric Video],Dim Mak,WW Skip,100000,,650,https://www.youtube.com/watch?v=INhze_KHTB0,9/2/2025,Complete,,,,checked,Yes,$500,Sent,https://docs.google.com/spreadsheets/d/1xH4er8uFn6rBXRtkuBwWOOAyGvPYR847yx3xwxAmQCw/edit?usp=sharing,checked,
James Brown & Laidback Luke “I Got Soul (Super Bad)” [Lyric Video],Dim Mak,US Website,10000,,400,https://www.youtube.com/watch?v=INhze_KHTB0,9/2/2025,Complete,,,,,Yes,$500,Sent,https://docs.google.com/spreadsheets/d/1xH4er8uFn6rBXRtkuBwWOOAyGvPYR847yx3xwxAmQCw/edit?usp=sharing,checked,
James Brown & Laidback Luke “I Got Soul (Super Bad)” [Lyric Video],Dim Mak,LATAM Display,20000,,650,https://www.youtube.com/watch?v=INhze_KHTB0,9/2/2025,Active,,,,,Yes,$500,Sent,https://docs.google.com/spreadsheets/d/1xH4er8uFn6rBXRtkuBwWOOAyGvPYR847yx3xwxAmQCw/edit?usp=sharing,checked,
Joaquin Jaimee - Para Volver [Official Video] ,Pick Six Records,CUSTOM,70000,,500,https://www.youtube.com/watch?v=tTMMvjpw3_k,9/2/2025,Active,,,,,Yes,$400,Sent,https://docs.google.com/spreadsheets/d/1Ws8DNQnpL2pHHc7QdUL4mdVEloRHh9cnIYStsqpxFbY/edit?gid=0#gid=0,checked,"$200 to Mexico 

$100 to Los Angeles, CA

$100 to Phoenix, AZ"
Miyachi - Hero ,BetterVibesOnly LLC,WW Skip,100000,,1200,https://www.youtube.com/watch?v=UJ0QHW35130,8/28/2025,Active,,,,,Yes,$350,Sent,,,
DEVAN ZORN - PRETTY GREEN EYES,Amit Prim8,WW Skip,80000,,10000,https://www.youtube.com/watch?v=TTvug7evBW8,8/27/2025,Complete,,,,,Yes,$0,Sent,https://docs.google.com/spreadsheets/d/1LvEHXZK9apDzDhqnEZJDkW673KQzRgqVzig2USd2yDs/edit?usp=sharing,checked,
DEVAN ZORN - SPLIT PILLS,Amit Prim8,WW Skip,20000,,5000,https://www.youtube.com/watch?v=e8Wv1n4mR-g,8/27/2025,Active,,,,,Yes,$0,Sent,https://docs.google.com/spreadsheets/d/1LvEHXZK9apDzDhqnEZJDkW673KQzRgqVzig2USd2yDs/edit?usp=sharing,checked,
Yzenia - Too Late (Visualizer),YZENIA,WW Skip,70000,,5000,https://www.youtube.com/watch?v=VAOkqc7b2kM&list=RDVAOkqc7b2kM&start_radio=1&pp=ygUPeXplbmlhIHRvbyBsYXRloAcB,8/27/2025,Complete,,,,,Yes,$100,Sent,https://docs.google.com/spreadsheets/d/1x2QeE_kuue-tTQPV-6YyzWlFSoL2WRJi-IiRomGbJiw/edit?usp=sharing,checked,
 Ookay - All I Ever Wanted (Official Video),Dim Mak,LATAM Display,25000,,3000,https://www.youtube.com/watch?v=47xMeEKfypA,8/25/2025,Active,,,,,Yes,$150,Sent,https://docs.google.com/spreadsheets/d/19Siu1Q8PirZ77-r1jOs0-KRTQ_L4D_6Q2KGBo0dpMmE/edit?usp=sharing,checked,
Ookay - Lose Control (Visualizer),Dim Mak,LATAM Display,25000,,3000,https://www.youtube.com/watch?v=gSOWPo3wX_M,8/25/2025,Complete,,,,,Yes,$100,Sent,https://docs.google.com/spreadsheets/d/19Siu1Q8PirZ77-r1jOs0-KRTQ_L4D_6Q2KGBo0dpMmE/edit?usp=sharing,checked,
Ookay - Move Ya Body (Visualizer),Dim Mak,LATAM Display,25000,,3000,https://youtu.be/jmzIzUK8x3E,8/25/2025,Complete,,,,,Yes,$100,Sent,https://docs.google.com/spreadsheets/d/19Siu1Q8PirZ77-r1jOs0-KRTQ_L4D_6Q2KGBo0dpMmE/edit?usp=sharing,checked,
RayRay - Hot In This (Official Video),Dim Mak,LATAM Display,25000,,3000,https://www.youtube.com/watch?v=7caLNMbGNGY&feature=youtu.be,8/25/2025,Complete,,,,,Yes,$150,Sent,https://docs.google.com/spreadsheets/d/1Wy1XMlPzk3S3XwK9kzO1xqjeKE2lFkA4CtqZV2miFqQ/edit?usp=sharing,checked,
" 3 Are Legend, Timbaland, W&W - Cry Me A River",Dim Mak,WW Skip,185000,,13000,youtube.com/watch?si=q6sai5AulWPy728G&v=vRyhpKOyquY&feature=youtu.be,8/15/2025,Complete,,,,,Yes,$600,Pending,https://docs.google.com/spreadsheets/d/1rQVZYIpoYondBniF6oDnTE7eWJ4SslJ_YbTn0RsfXXk/edit?usp=sharing,checked,
"Bob's Dance Shop ""MOVE IT"" (Official Music Video - Presented by RYTHM)",Eye In The Sky,WW Display,25000,,400,https://www.youtube.com/watch?v=C8ntlCAOfhU,8/15/2025,Complete,,,,,Yes,$125,Pending,https://docs.google.com/spreadsheets/d/13k9Anf4dgTKaP4mB6HygdA6ZJ6ZRGc1QtyKnmmFrk0A/edit?usp=sharing,checked,
"Bob's Dance Shop ""MOVE IT"" (Official Music Video - Presented by RYTHM)",Eye In The Sky,WW Skip,25000,,300,https://www.youtube.com/watch?v=C8ntlCAOfhU,8/15/2025,Complete,,,,,Yes,$125,Pending,https://docs.google.com/spreadsheets/d/13k9Anf4dgTKaP4mB6HygdA6ZJ6ZRGc1QtyKnmmFrk0A/edit?usp=sharing,checked,
PLS&TY & MOYA - Take A Chance (Illyus Barrientos REMIX),Dim Mak,LATAM Display,25000,,5000,https://www.youtube.com/watch?v=UGdaUlqY-DQ,8/15/2025,Complete,,,,,Yes,$150,Pending,https://docs.google.com/spreadsheets/d/1GJ9MvQhEIKreG5xiBtLL8vY0SCgzRnLLWANKrFn9KSo/edit?usp=sharing,,
PLS&TY & MOYA - Take A Chance (Tim Sanders Remix),Dim Mak,LATAM Display,25000,,5000,youtube.com/watch?si=LEwqnsEH5_xV65yh&v=T8XHn0-tUWk&feature=youtu.be,8/15/2025,Complete,,,,,Yes,$150,Pending,https://docs.google.com/spreadsheets/d/1GJ9MvQhEIKreG5xiBtLL8vY0SCgzRnLLWANKrFn9KSo/edit?usp=sharing,,
Proppaganda - Shark Mix,PROPPAGANDA,WW Display,80000,,6000,https://www.youtube.com/watch?v=LtP7GOyq_ew&list=RDLtP7GOyq_ew&start_radio=1,8/14/2025,Active,,,,,Yes,$600,Paid,https://docs.google.com/spreadsheets/d/1CengAnykY1iLKH9M9uFOTb-0XnWzSXrq5VrEyxVS1VM/edit?usp=sharing,checked,
Proppaganda - Shark Mix,PROPPAGANDA,LATAM Website,230000,,6000,https://www.youtube.com/watch?v=LtP7GOyq_ew&list=RDLtP7GOyq_ew&start_radio=1,8/14/2025,Active,,,,,Yes,$900,Paid,https://docs.google.com/spreadsheets/d/1CengAnykY1iLKH9M9uFOTb-0XnWzSXrq5VrEyxVS1VM/edit?usp=sharing,checked,
 PLS&TY - Take A Chance (GROSSOMODDO Remix),Dim Mak,LATAM Display,25000,,5000,https://www.youtube.com/watch?v=xdJgkoujBDE,8/8/2025,Complete,,,,checked,Yes,$150,Paid,https://docs.google.com/spreadsheets/d/1GJ9MvQhEIKreG5xiBtLL8vY0SCgzRnLLWANKrFn9KSo/edit?usp=sharing,checked,
 PLS&TY - Take A Chance (Maesic Remix),Dim Mak,LATAM Display,25000,,5000,https://www.youtube.com/watch?v=Qq09QyeAmhc,8/8/2025,Complete,,,,,Yes,$150,Paid,https://docs.google.com/spreadsheets/d/1GJ9MvQhEIKreG5xiBtLL8vY0SCgzRnLLWANKrFn9KSo/edit?usp=sharing,checked,
Dani Thorne & CRUNCHi - GOD IS A DJ (feat. CRAY) (Official Video),Dim Mak,LATAM Display,25000,,5000,https://www.youtube.com/watch?v=dkS8xWzHYgQ,8/8/2025,Complete,,,,checked,Yes,$150,Paid,https://docs.google.com/spreadsheets/d/11sn2V57yjyutykCuZYGh68lVgweBCKy-IcUPx80ItKM/edit?usp=sharing,,
Evalyn - Playstation,Evalyn,WW Skip,500000,,1000,https://www.youtube.com/watch?v=99OTs1qbmUc&list=RD99OTs1qbmUc&start_radio=1&pp=ygUURXZhbHluIC0gUGxheXN0YXRpb26gBwE%3D,8/8/2025,Complete,,,,,Yes,$1528,Paid,https://docs.google.com/spreadsheets/d/1II7j-9tGn_liUtZChHMS6aRSvjPz_9Tp4sFWul24IM8/edit?usp=sharing,checked,
Evalyn - Playstation,Evalyn,AUS Website,10000,,200,https://www.youtube.com/watch?v=99OTs1qbmUc&list=RD99OTs1qbmUc&start_radio=1&pp=ygUURXZhbHluIC0gUGxheXN0YXRpb26gBwE%3D,8/8/2025,Complete,,,,,Yes,$120,Paid,https://docs.google.com/spreadsheets/d/1II7j-9tGn_liUtZChHMS6aRSvjPz_9Tp4sFWul24IM8/edit?usp=sharing,checked,
Jordan Andrew - iKNOW,Jordan Andrew,WW Skip,100000,100000,10000,https://youtu.be/NK3F4HZHXKc,8/8/2025,Complete,,,,,Yes,$350,Paid,https://docs.google.com/spreadsheets/d/1NjIhg-JCl9Y2gS-w9BY8AAdFAhuKRGcF6KQACUFjfa4/edit?usp=sharing,checked,
Jordan Andrew - iKNOW,Jordan Andrew,LATAM Display,30000,30000,5000,https://youtu.be/NK3F4HZHXKc,8/8/2025,Complete,,,,,Yes,$180,Paid,https://docs.google.com/spreadsheets/d/1NjIhg-JCl9Y2gS-w9BY8AAdFAhuKRGcF6KQACUFjfa4/edit?usp=sharing,checked,
Jordan Andrew - iKNOW,Jordan Andrew,EUR Display,30000,30000,5000,https://youtu.be/NK3F4HZHXKc,8/8/2025,Active,,,,,Yes,$370,Paid,https://docs.google.com/spreadsheets/d/1NjIhg-JCl9Y2gS-w9BY8AAdFAhuKRGcF6KQACUFjfa4/edit?usp=sharing,checked,
PLS&TY - Take A Chance (CASSIMM Remix),Dim Mak,LATAM Display,25000,,5000,https://youtu.be/J9fUPM1Cru8?si=dpKJpawDWDxJ8V9s,8/8/2025,Complete,,,,,Yes,$150,Paid,https://docs.google.com/spreadsheets/d/1GJ9MvQhEIKreG5xiBtLL8vY0SCgzRnLLWANKrFn9KSo/edit?usp=sharing,checked,
"Blanke, Linney - How it Feels",Blanke,WW Display,60000,30000,5000,https://www.youtube.com/watch?v=VutTlq88idM&list=RDVutTlq88idM&start_radio=1,8/6/2025,Complete,,,,,Yes,$350,Paid,https://docs.google.com/spreadsheets/d/1jcvB3CXuL-LjP-36EtN361z9u8aMkXwom0gtqREZhaA/edit?usp=sharing,checked,
Space Wizard - LIV,Space Wizard LLC,WW Display,75000,,5000,https://www.youtube.com/watch?v=4w75zHuiWhcr,8/6/2025,Complete,,,,,Yes,$500,Paid,https://docs.google.com/spreadsheets/d/17nui2Y69hyz9Grd_3Ng8Ia_IZuOuEBtsXu-BI8QoajU/edit?usp=sharing,checked,"worldwide targeting bass music artists
Excision, Skrillex, Subtronics, DJ Snake, Crankdat, Kai Wachi, BTSM, Marshmello, Levity, Tape B, Flosstradamus, Deorro, virtual riot, seven lions, jauz, chainsmokers, lost lands, bass canyon."
Space Laces - Vaultage,Space Laces Touring LLC,US Skip,40000,,2000,https://www.youtube.com/watch?v=-tLRvxTJctI&t=64s,8/4/2025,Complete,,,,,Yes,$500,Paid,https://docs.google.com/spreadsheets/d/1dJHYOBz6Ft3CYqkhlD0Rzgn1FPLz93eWU4wa0cteyec/edit?usp=sharing,checked,"US only, looking to use this set to build awareness for his mission ballroom show in November/ tour he's currently on.

Can let it run slow, not concerned with getting more views on this, would rather hit the EDM/Bass Music fans in the US
Targeting Keywords:
Excision, Skrillex, Subtronics, DJ Snake, Crankdat, Kai Wachi, BTSM, Marshmello, Levity, Tape B, Flosstradamus, Deorro"
Thomas Gold - Set Me Free,Dim Mak,LATAM Display,25000,11000,5000,https://youtu.be/b5KmPmx7n0M,8/1/2025,Complete,,,,,Yes,$150,Paid,https://docs.google.com/spreadsheets/d/1jQrE7SPEv2hVMMuee4Amwvgmw8n2M3ohT-JVUyVZtqU/edit?usp=sharing,checked,
Juicy Romance - Bikini,Insomniac (Helene),US Website,36000,15000,3000,https://youtu.be/CO-pmQ2zG8I,7/29/2025,Complete,,,,,Yes,$100,Paid,https://docs.google.com/spreadsheets/d/1VOYdNddukIP54qZc8kQCRfdrDo8HhojXpuu3vA5MF3A/edit?usp=sharing,checked,
Ookay - Speakers Knockin' (Official Video),Dim Mak,US Website,10000,10000,2000,https://www.youtube.com/watch?v=Aw7tC0Fysqc&feature=youtu.be,7/25/2025,Complete,,,,,Yes,$450,Paid,https://docs.google.com/spreadsheets/d/19Siu1Q8PirZ77-r1jOs0-KRTQ_L4D_6Q2KGBo0dpMmE/edit?usp=sharing,checked,
Ookay - Speakers Knockin' (Official Video),Dim Mak,LATAM Website,30000,20000,5000,https://www.youtube.com/watch?v=Aw7tC0Fysqc&feature=youtu.be,7/25/2025,Complete,,,,,Yes,$450,Paid,https://docs.google.com/spreadsheets/d/19Siu1Q8PirZ77-r1jOs0-KRTQ_L4D_6Q2KGBo0dpMmE/edit?usp=sharing,checked,
"Wurme & Lost Vandal - ""Feel The Love"" (Official Video)",Dim Mak,LATAM Display,25000,15000,5000,https://www.youtube.com/watch?v=XbvjrqjMpHY&feature=youtu.be,7/25/2025,Complete,,,,,Yes,$150,Paid,https://docs.google.com/spreadsheets/d/1eNFebisz82Nij2jIYrbnRb8dp0DiBDVZrUoGWgo-ODQ/edit?usp=sharing,checked,
All American Rejects - Jimmy Kimmel Live,Right Call,,0,0,0,https://youtu.be/GzSDoKh0zxE,7/21/2025,Active,,,,,Yes,$250,Paid,https://docs.google.com/spreadsheets/d/1ivV4pjoqUpLmzMdFevXbLuoF8ciVeIM_rAcMQugWeww/edit?usp=sharing,checked,
"PLS&TY & MOYA - ""Take A Chance"" (Visualizer)",Dim Mak,EUR Display,10000,0,0,https://www.youtube.com/watch?v=nJgQQwWngIY,7/18/2025,Complete,,,,checked,Yes,$120,Sent,https://docs.google.com/spreadsheets/d/1GJ9MvQhEIKreG5xiBtLL8vY0SCgzRnLLWANKrFn9KSo/edit?usp=sharing,checked,
"PLS&TY & MOYA - ""Take A Chance"" (Visualizer)",Dim Mak,LATAM Display,30000,10000,0,https://www.youtube.com/watch?v=nJgQQwWngIY,7/18/2025,Complete,,,,,Yes,$180,Sent,https://docs.google.com/spreadsheets/d/1GJ9MvQhEIKreG5xiBtLL8vY0SCgzRnLLWANKrFn9KSo/edit?usp=sharing,checked,
Softest Chyl - “Voice In My Head (feat. Makayla Phillips)” (Official Video),Dim Mak,US Skip,10000,0,0,https://www.youtube.com/watch?v=TFHpgEWrFl4,7/18/2025,Complete,,,,,Yes,$120,Sent,https://docs.google.com/spreadsheets/d/1e25etu35842kEt9JR7E4GEfOVNhfE9NPlQj8V-oJWLg/edit?usp=sharing,checked,
Softest Chyl - “Voice In My Head (feat. Makayla Phillips)” (Official Video),Dim Mak,LATAM Display,30000,7000,0,https://www.youtube.com/watch?v=TFHpgEWrFl4,7/18/2025,Complete,,,,checked,Yes,$180,Sent,https://docs.google.com/spreadsheets/d/1e25etu35842kEt9JR7E4GEfOVNhfE9NPlQj8V-oJWLg/edit?usp=sharing,,
Evalyn - Boys Girls,Evalyn,WW Display,75000,13727,10000,https://www.youtube.com/watch?v=m9e3TJpOsOQ,7/11/2025,Complete,,,,,Yes,$600,Paid,https://docs.google.com/spreadsheets/d/1-77PAnZ_kK714ZTpR3bwutkWTkks77uX1DAqpK5_X4E/edit?usp=sharing,checked,
Evalyn - Boys Girls ,Evalyn,US Skip,20000,0,2000,https://www.youtube.com/watch?v=m9e3TJpOsOQ,7/11/2025,Complete,,,,,Yes,$200,Paid,https://docs.google.com/spreadsheets/d/1-77PAnZ_kK714ZTpR3bwutkWTkks77uX1DAqpK5_X4E/edit?usp=sharing,checked,
Exodus Era - Weaponized ADHD Episode 1.5,Exodus Era,US Skip,10000,1000,2000,https://www.youtube.com/watch?v=kIHpiqB2D90,7/11/2025,Complete,,checked,,checked,Yes,$120,Paid,https://docs.google.com/spreadsheets/d/1MwkT6Zeba4IoplBucnL5sgeGC6C9kwo-kVIR3enA2E4/edit?usp=sharing,checked,
Exodus Era - Weaponized ADHD Episode 2,Exodus Era,US Website,15000,8000,2000,https://www.youtube.com/watch?v=IOLO4Rk0GDo,7/11/2025,Complete,,,,checked,Yes,$180,Paid,https://docs.google.com/spreadsheets/d/1MwkT6Zeba4IoplBucnL5sgeGC6C9kwo-kVIR3enA2E4/edit?usp=sharing,checked,
PLS&TY - Constellations (ARYME Remix),Dim Mak,LATAM Display,30000,12000,2000,https://www.youtube.com/watch?v=Js4pCLEwV5c,7/11/2025,Complete,,,,,Yes,$180,Sent,https://docs.google.com/spreadsheets/d/1v4JSIPVCeK0Db_I_DFHeUfOcWmdeP80EFaDuaaOz-rI/edit?usp=sharing,checked,
PLS&TY - Constellations (ARYME Remix),Dim Mak,US Website,10000,10000,2000,https://www.youtube.com/watch?v=Js4pCLEwV5c,7/11/2025,Complete,,,,,Yes,$120,Sent,https://docs.google.com/spreadsheets/d/1v4JSIPVCeK0Db_I_DFHeUfOcWmdeP80EFaDuaaOz-rI/edit?usp=sharing,checked,
Showtek - Slow Down (GESES & LUSSO Remix) (Visualizer),Dim Mak,US Website,10000,0,2000,https://www.youtube.com/watch?v=vFvDdXJRBZ8,7/11/2025,Complete,,,,,Yes,$120,Sent,https://docs.google.com/spreadsheets/d/1XUQ5hjxDvnkUBPGEd-fIvPkkRjwm3J-iqpYVTwa-vsk/edit?usp=sharing,checked,
Showtek - Slow Down (GESES & LUSSO Remix) (Visualizer),Dim Mak,LATAM Display,30000,9000,2000,https://www.youtube.com/watch?v=vFvDdXJRBZ8,7/11/2025,Complete,,,,,Yes,$180,Sent,https://docs.google.com/spreadsheets/d/1XUQ5hjxDvnkUBPGEd-fIvPkkRjwm3J-iqpYVTwa-vsk/edit?usp=sharing,checked,
Sikdope - Small Talk (Visualizer),Dim Mak,US Website,10000,0,2000,https://www.youtube.com/watch?v=cAocew6O9x8,7/11/2025,Complete,,,,,Yes,$120,Sent,https://docs.google.com/spreadsheets/d/1sXLLrE55D1rlfQ21NQ8FdeqwPSuMI5bHKo2ZKO2Qh-c/edit?usp=sharing,checked,
Sikdope - Small Talk (Visualizer),Dim Mak,LATAM Display,30000,5128,2000,https://www.youtube.com/watch?v=cAocew6O9x8,7/11/2025,Complete,,,,,Yes,$180,Sent,https://docs.google.com/spreadsheets/d/1sXLLrE55D1rlfQ21NQ8FdeqwPSuMI5bHKo2ZKO2Qh-c/edit?usp=sharing,checked,
K Hus - NBTTW,Joseph Saggio,WW Website,10000,10000,2000,https://www.youtube.com/watch?v=-akVbbeDp30,7/10/2025,Complete,,,,checked,Yes,$50,Paid,https://docs.google.com/spreadsheets/d/1vW8G_-rDLqwXC7jb9xTIyJTJXaF3vQVOib1qlxaN8fA/edit?usp=sharing,,
"TAAR - Easy Come, Easy Go (AMV) (18k likes, 400 cmmts)",Right Call,,0,0,0,https://www.youtube.com/watch?v=qKVXsF9mhVA,7/10/2025,Complete,,,,,Yes,$250,Paid,https://docs.google.com/spreadsheets/d/1Y4rD_W5dolnYuOdvhcVtDcD2klRVEKM09Wk4_v0lF6k/edit?usp=sharing,checked,
"TAAR - Easy Come, Easy Go (MV) (25k likes, 400 cmmts)",Right Call,,0,0,0,https://www.youtube.com/watch?v=EhXn1AAv0bE,7/10/2025,Complete,,,,,Yes,$250,Paid,https://docs.google.com/spreadsheets/d/1O_CS8Y65BmQUS5h9F--kA_JSZWmIirnP7DTGnrCcnPo/edit?usp=sharing,checked,
"TAAR - Sandbox (25k likes, 300 cmmts)",Right Call,,0,0,0,https://www.youtube.com/watch?v=Rz7aq1mRHW0,7/10/2025,Complete,,,,,Yes,$250,Paid,https://docs.google.com/spreadsheets/d/19fu153rke7djpLTSYRI4Ci6rPk9jOZOnNkyQ1MB0Lb8/edit?usp=sharing,checked,
