Campaign,Clients,Start Date,Price,Spend,Remaining,Sound URL,Status,Tracker,Campaign Started,Send Tracker,Send Final Report,Invoice,Salespeople,Report Notes,Client Notes,Paid Ops?
Dr3w Lovely - Jump,Dr3w Lovely,7/23/2025,$450.00,$315.00,$0.00,https://open.spotify.com/track/1YhO2U2ooAw5bwK3BYdFKk,Completed,https://music.cobrand.com/promote/781ab76f-1668-4e2f-aeda-59a4e46b10c7/share?token=JQgkgky8rWU02yjxJvpDBNue2q9yqon4J16fQzwWXUs,checked,checked,checked,Paid,Jared,,"'- Spotify Playlisting (100,000 streams) - $1,100
- SoundCloud Reposts (15M reach) - $450
- Instagram Seeding ($315 spend, 3-5+ posts) - $450

https://open.spotify.com/track/1YhO2U2ooAw5bwK3BYdFKk
",
"Blanke, Linney - How It Feels",Blanke,7/18/2025,$2590.00,$1650.00,$0.00,https://www.instagram.com/reels/audio/3138778592964625?igsh=MWdnY2twaDJyaWlmMA==,Completed,https://music.cobrand.com/promote/070769e5-64fc-4df0-9480-40e57d05634d/share?token=00FslWvfa-0OAeO7z8xYINbiEAsdaw6fB4-c3BlpT8Y,checked,checked,checked,Sent,Jared,,"@blankemusic, @linney",
HUGEL & Diplo - Forever (feat. Malou),Insomniac (Helene),7/18/2025,$350.00,$245.00,$0.00,https://www.instagram.com/reels/audio/708888628085564?igsh=NTc4MTIwNjQ2YQ==,Completed,https://music.cobrand.com/promote/de08ae12-ebc1-4e76-a786-7991adcadd05/share?token=Ewc_iuGH12AqNToapzQI3EGyVKJAlX2YFt3PGAH8a7A,checked,checked,checked,Sent,Jared,,@diplo @hugelthug,
Francis Mercier - Sauti,Insomniac (Helene),7/18/2025,$350.00,$245.00,$0.00,https://www.instagram.com/reels/audio/26193685006889505?igsh=NTc4MTIwNjQ2YQ==,Completed,https://music.cobrand.com/promote/80ae8c2c-057f-4852-8b42-31e03c199940/share?token=6sSTVb2JqnazgIAO0zPHcSpzQMmiCjydluDbfn4vlOI,checked,checked,checked,Sent,Jared,,@francismercier,
Traveler - Abyssal Reef,Traveler,7/17/2025,$500.00,$350.00,$0.00,https://soundcloud.com/artistinfluence/abyssal-reef-radio-edit/s-OYPSU2dCorI?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing&si=9ce0ac6caf9b48afafc0fc285f41149e,Completed,https://music.cobrand.com/promote/354ea778-1b60-4cde-978f-4261ffedabd1/share?token=uPMRVuonhsBz74Ag_YBC1xJqBULJ9AieqHKKSXflGvQ,checked,checked,checked,Paid,Jared,,'@travelermusic (i think),checked
Mother. - MIA,mother.,7/16/2025,$350.00,$245.00,$0.00,https://open.spotify.com/track/5mru4dvoMsMGnj4dnT9cZi,Completed,https://music.cobrand.com/promote/81ce5a17-5df9-4945-a82c-087f0a391d5f/share?token=x3y_EbWwKRSNBjlKn6nj7UcxTxC9TQS8taqpCuSiyHE,checked,checked,checked,Paid,Jared,,@therealmother.dj,checked
proppaganda - Shark campaign,PROPPAGANDA,7/15/2025,$3278.60,$2522.00,$978.00,N/A,Completed,https://music.cobrand.com/promote/e0c6d85c-b502-4d0b-af6d-8ca2ff94c3f8/share?token=AtvIZnJtP5ykkalDALANSfoxg8AtgXQcs5L7dsdXUxI,checked,checked,,Paid,Katt,,@proppaganda,checked
Ian Asher - No Way,Jared,7/11/2025,$300.00,$300.00,$0.00,https://www.instagram.com/reels/audio/1606672513383945?igsh=YnI3Z2lzMnh3aGJ2,Completed,https://music.cobrand.com/promote/26847d4a-c85b-4381-b063-36e72a4cb345/share?token=Rm9ECOb3vrxplgYHg6A1XtD3xsYbabjAHyY_NN_6sOM,checked,checked,checked,N/A,Jared,,@ianasher @thatkahlo,checked
LOSTBOYJAY - Medicinal,Funkshway Records,7/11/2025,$350.00,$245.00,$0.00,https://www.instagram.com/reels/audio/678128508322148?igsh=OXd3dW1sbGtrOGtl,Completed,https://music.cobrand.com/promote/65b2de27-299c-417d-aa63-3405900f6410/share?token=fOi-enzfjmOr0he3YSjFcIwKwSd-JlpKUPolBiX1fWw,checked,checked,checked,Paid,Jared,,@lostboyjay,checked
Thursday Cigs - Need A Freak,Thursday Cigs,6/27/2025,$600.00,$420.00,$0.00,TBD,Completed,https://music.cobrand.com/promote/f809778e-d2d2-4ac7-bf70-ec7fe26f0fc4/share?token=VEU15fxvK3A9K7DjcawWEHZ78gCPhv1VS-6hLJufmx8,,checked,checked,Sent,Jared,,@thursdaycigs,checked
"Calussa, NATTI NATASHA, Marco Tropeano - No Pare",Insomniac (Helene),6/27/2025,$350.00,$245.00,$0.00,https://open.spotify.com/track/4E6M6muDadCiTQ72KUELbB,Completed,https://music.cobrand.com/promote/a5cc6456-075e-4643-961f-fbb68b147702/share?token=P1HNRSqaA1JRFznpDhGdYWI1KXAtECJdchD2KF38na4,checked,checked,checked,Sent,Philippe,,"@calussa
@nattinatasha
@marco_tropeano_",checked
Eli Brown - Wavey,Insomniac (Helene),6/25/2025,$350.00,$245.00,$0.00,https://www.instagram.com/reels/audio/1002916375128763?igsh=NTc4MTIwNjQ2YQ==,Completed,https://music.cobrand.com/promote/07582de3-d1c5-45cd-8516-9910bfbb3839/share?token=z1wsaBiRfX4Z1EsdLoB3FEodKG1WjIatxOg6fnaJWok,checked,checked,checked,Sent,Philippe,,@elibrownbeats,checked
Ameme & Barney Bone - Sweat,Insomniac (Helene),6/25/2025,$250.00,$175.00,$0.00,https://www.instagram.com/reels/audio/1040754481350539?igsh=NTc4MTIwNjQ2YQ==,Completed,https://music.cobrand.com/promote/ad7c6c74-40e4-4add-b3e3-0e632d0cb54e/share?token=a1qTk_GpbWYPNldHTgduI1oyJEhMMH5eHytA0Z0q2eY,checked,checked,checked,Sent,Philippe,,,checked
SAYSO - LTWB,SAYSO,6/24/2025,$350.00,$245.00,$0.00,https://soundcloud.com/saysosounds/ltwb,Completed,https://music.cobrand.com/promote/6937e25a-78a2-4b21-a3c9-4e252943d885/share?token=N5C2U_ilm5Tp55euRSI7w9NhUTbwzHSu2EhZ6XV4RRY,checked,checked,checked,Sent,Jared,,@fareoh,checked
Krupa - Wake Em Up Remix,Amit Prim8,6/24/2025,$250.00,$150.00,$0.00,https://soundcloud.com/krupamode/murda-beatz-x-rich-the-kid-wake-em-up-krupa-remix,Completed,https://music.cobrand.com/promote/caaefe88-b750-4a60-bd43-2096c8909f33/share?token=dxZG_wgbL_ALp43DF4Hk7Rtwhr7gP5T_MNFMkWXA9fs,checked,checked,checked,Sent,Jared,,please use the right krupa handle ,checked
Ambrxse - Swipe Right,Ambrxse,6/24/2025,$325.00,$227.50,$0.00,https://open.spotify.com/album/3izFIAaF5LngzwM2SK2602?si=iDF01LGvQI-OqEmq6_813g,Completed,https://music.cobrand.com/promote/67af9e0d-ea9d-49cf-9610-f8d95fdcfc44/share?token=7hsqRQubURqq9CkP6VLd1tXWTKSvRC5YExDRTSqZL_s,checked,checked,checked,Sent,Jared,,@ambrxse just double check plz,checked
Afterparty - RAW,Afterparty,6/20/2025,$250.00,$135.00,$0.00,https://soundcloud.com/afterpartyus/raw/s-fJ1ZoD7ddWh?ref=clipboard&p=i&c=1&si=C7C35974ED4F4726BE8D1C56DD29A7BE&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,Completed,https://music.cobrand.com/promote/76635c86-4787-4ca7-b060-3bf6f8e2e853/share?token=GzX8PSrTgwBFcrCnIpP_HNrfHq8G9Au93BO2sLzd4ak,checked,checked,checked,Sent,Jared,,@afterpartyus,checked
Luhv - With U,Luhv,6/20/2025,$250.00,$135.00,$0.00,https://soundcloud.com/luhvmusic/with-u-mstr-v1/s-PsissbuAynh?si=e73f5c3811a24702ae77f6d0a3cbd465&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing ,Completed,https://music.cobrand.com/promote/77f68c21-f755-43a7-8561-550e9df4d66d/share?token=h8zmhTKRsiGO8-PtG8JAshD6dD6yhuq2vKDmlZh0bvg,checked,checked,checked,Sent,Jared,,,checked
Traveler - Remember Me,Traveler,6/18/2025,$500.00,$350.00,$0.00,https://www.dropbox.com/scl/fi/8osm3ynb74q4bas240gpy/Remember-Me-V2-Radio-Master-RG_SDMI-5.22.25-320.mp3?rlkey=8vmqyp3q29t6rsdgloshop4k7&st=hlel7arw&dl=0,Completed,https://music.cobrand.com/promote/bd97d1ba-22bf-43f0-8df8-5c229ba05f25/share?token=gDPpMqmF0noXRjZehx71TBm26VFm3kXlK1Furz1X0Ks,checked,checked,checked,Sent,Jared,,@travelermusic,checked
CAPYAC - Sexy In My Bodyyy,Eye In The Sky,6/18/2025,$500.00,$350.00,$0.00,https://www.instagram.com/reels/audio/9345309245523336/,Completed,https://music.cobrand.com/promote/f2314bb7-9572-4c97-a389-57648d2b00f1/share?token=4teF1xBl8hEsrTW3LNuF3eeUOZNzJpmG5zFPfbjAZCI,checked,checked,checked,Sent,Jared,,@capyac,checked
Reece Rosé - DISSONANCE EP,Reece Rosé,6/13/2025,$500.00,$350.00,$0.00,https://soundcloud.com/djreecerose/sets/dissonance-ep-monta/s-UAFTD3lGzup?si=3c6881be33db4b3fb12e4ce83fef54b9&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,Completed,https://music.cobrand.com/promote/393af0c5-75b3-4390-8bc8-8fe50a8c868d/share?token=cXDoaRzPSIEFb5jyNAZy0upodmsbFtd76OM4o2ObERc,checked,checked,checked,Paid,Jared,,"same guy as before find his tag plz, and we'll get the focus song from him shortly!",checked
Kluster Flux - Final Flash,Kluster Flux,6/5/2025,$500.00,$350.00,$0.00,https://open.spotify.com/track/6g9p3ONm3urpjjiD7lYozk,Completed,https://music.cobrand.com/promote/d71c8471-52e1-4c01-958b-8e9151d09943/share?token=tqsyUFExtEWaulQ17K6kHLa7EzQUMEiTJzNk8IwoGAQ,checked,checked,checked,Paid,Jared,,GET GOING ASAP PLEASE I FORGOT,checked
Traveler - Hallucinations Remix,Traveler,6/5/2025,$350.00,$245.00,$0.00,https://soundcloud.com/travelermusic/r3hab-feat-r-i-t-u-a-l-hallucinations-traveler-remix,Completed,https://music.cobrand.com/promote/f418eec8-9ded-49ea-b607-e58f702bbcff/share?token=v83fS08zB9640FbVIeBnrmuZnmN_kH7o0LXt8aw7VpM,checked,checked,,Paid,Jared,,@travelermusic,checked
Eazley - On My Mind,EAZLEY,6/4/2025,$250.00,$135.00,$0.00,https://soundcloud.com/iameazley/v3-on-my-mind-remix/s-pU6CyfQ99lb?ref=clipboard&p=i&c=1&si=D1550A8D04DA4AD7A1D757C2DED37320&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,Completed,https://music.cobrand.com/promote/4939a92d-d92c-474e-8a7d-84f913df27ae/share?token=sDOQuhGU1ebXLmRMuucrPiDNyEViyVjFTCfRwZJOFrw,checked,checked,,Paid,Jared/Katt,,https://www.instagram.com/iameazley/,checked
The Big Blind - Heavyweight Feather,The Big Blind,5/30/2025,$350.00,$284.00,$0.00,https://www.instagram.com/reels/audio/670419952633902?igsh=d3J1eDdmeG40ZXBx,Completed,https://music.cobrand.com/promote/5b9e0fe5-444f-4962-b95e-021d551c1a18/share?token=undefined,checked,checked,checked,TBD,Nate,After world + techno is love 2x pages,Instagram profile: @thebigblindmusic,checked
PROPPAGANDA - All Talk,PROPPAGANDA,5/20/2025,$700.00,$495.00,$0.00,https://open.spotify.com/track/6uzwoESfbJfNgi4XdE5IqT,Completed,https://music.cobrand.com/promote/f05de9b1-4eec-4d21-a988-212711381590/share?token=nLAtOjrQjblOuff_tAgLjqofM9TffFxq5pflN2GxdxM,checked,checked,checked,Paid,Katt,,@proppaganda,checked
Kluster Flux - Gods,Kluster Flux,5/20/2025,$1200.00,$840.00,$0.00,https://open.spotify.com/track/3o5mNSJZimpo1bWyVR5dQE,Completed,https://music.cobrand.com/promote/90b0fd7b-d2fb-4d31-9612-616b4c4b2cf1/share?token=1jBJxeKPFLtaJejOnpxyDBrBJoi-TmggWu24271UtoA,checked,checked,checked,Sent,Jared,1 posts got deleted from DF that needs redo,"@klusterflux

Try using that 3d pokemon animation guy for $200 of the budget, that'll knock his socks off. need to go HARD. this guy can spend MAJOR money with us. ",checked
BILLYTHEKID - ACTION,BILLYTHEKID,5/12/2025,$325.00,$180.00,$0.00,https://open.spotify.com/track/4v3bSKBQdUQmLousLqcffe,Completed,https://music.cobrand.com/promote/46f1c26a-08c4-47af-8bcd-a644f1b8a7d7/share?token=QK4mH5w5uTYHJ8bzejgEdeU62fcx6HIsNUSr4A3QDTE,,checked,checked,Paid,Jared,,@billythekiddub,checked
Mau P - The Less I Know The Better,ADA,5/10/2025,$4000.00,$2800.00,,https://open.spotify.com/track/7lDGg8CFySbkKUrjgzcLlY,Completed,https://music.cobrand.com/promote/b6d3c76f-e4fb-47fe-b103-7d7da5f67c20/share?token=KCyEmMgHj-Q7gPwfqPje492PifLVx8s210rRXyUXZwk,checked,checked,checked,Paid,Jared,,"@edmtrain
@rave_ville
@orlandoelectronic 
x3 post @alltimeedm
X2 post @thathousetune 
@technofinsta 
@mr.afterparty 
@stagehoppers 
@housemusic.us 
@edmclip 
@techno
@afterworldmusic_ 
2x post @_iheartedm_ 
@techno.house.tracks 
@tomorrowlandislove5 
@edmtrain
@technovibesofc
@mr.afterparty
@technoislove5
@techno.house.tracks ",checked
HYFR (EAZLEY FLIP),EAZLEY,5/6/2025,$250.00,$135.00,,https://on.soundcloud.com/KDirLw7Fr6EKEUeTA,Completed,https://music.cobrand.com/promote/e9dd6486-627d-4da2-b177-d73b21c6e0dc/share?token=0dSEVdLQpgDkXPeyo4Ua96ZCIdNrPguuSEjV_5HWibU,checked,checked,checked,Paid,Jared/Katt,,@iameazley,checked
Ozz Gold - Believe,Ozz Gold,5/2/2025,$350.00,$245.00,$0.00,https://soundcloud.com/ozzgold/believe/s-qVUXKiDWT2Q,Completed,https://music.cobrand.com/promote/b85077e4-0f17-4ed9-8079-d8a3219e9e57/share?token=HUT7SIl7lz2qUVLCjOTbp_-aCNTKVtQ6gSOpZypva60,checked,checked,checked,Paid,Katt,,@ozzgold,checked
ADL - It's A Wonderful Life,A Dying Light,5/2/2025,$550.00,$385.00,,https://open.spotify.com/track/1KGMgXe5Q5V7SvzFsekDNw,Completed,https://music.cobrand.com/promote/cc6f502f-c420-4040-bcc0-96283413b459/share?token=blTPmR9AW59-HbRP7jiYh1nxquPCRN0If9NfiuVL3F0,checked,checked,checked,Paid,Jared,,@adyinglightmusic,checked
Traveler - Ocean Born,Traveler,5/2/2025,$550.00,$385.00,,https://open.spotify.com/track/0ehFhAL9qXecLJDlDDhCU5,Completed,https://music.cobrand.com/promote/b38bd1ef-49e6-4cc9-9dd8-fcbaef210064/share?token=8POmp9yl_OmqIzqY2NZ-qgv5XHt7XZyiGz2vs4oxMFE,checked,checked,checked,Paid,Jared,,,checked
REAPER & Basstripper - MOMENT,Insomniac (Helene),5/1/2025,$250.00,$135.00,$0.00,https://www.instagram.com/reels/audio/693551716548623?igsh=NTc4MTIwNjQ2YQ==,Completed,https://music.cobrand.com/promote/ccdd15f6-fe13-44a8-a95e-661575c37ff1/share?token=C8wbhwgN3ufL3PFO7ZPYDly1wU3BGYW0dWozSi2znIo,checked,checked,checked,Paid,Jared,,"@reapernoises, @basstripper",checked
Reece Rosé - Anything For You,Reece Rosé,4/25/2025,$625.00,$480.00,$0.00,https://open.spotify.com/album/0xkSUMH87X41cH81zxAE4T?si=08hM-E7IQdiPLeUcrJ2MmA,Completed,https://music.cobrand.com/promote/6233a2d3-6a03-4fb6-bdb8-a26c7f11d76f/share?token=uwcHGntu2Ozvc3AFc3HMnai2SunAsJWGtzZ21uqir0w,checked,checked,checked,Paid,Jared,,@djreecerose,checked
VRG - attitude,VRG,4/25/2025,$250.00,$135.00,$0.00,https://open.spotify.com/track/2E5Tu2n6tsG5S3dRDkEmR7,Completed,https://music.cobrand.com/promote/bdf7ad56-eeef-489a-829f-f73fb17da6ab/share?token=S4r13LLC61KdhcZPHQpNR-tQ8t5XhQX6qO6-fxliDys,checked,checked,checked,Paid,Jared,,@vrg_music,checked
Wakyin & Vibarco - Matador,Insomniac (Helene),4/23/2025,$350.00,$210.00,$0.00,https://www.instagram.com/reels/audio/4092909204362903?igsh=NTc4MTIwNjQ2YQ==,Completed,https://music.cobrand.com/promote/e591e614-816f-476e-af87-036b1a6858f8/share?token=OnMV1cTIjLybLLplUupG4rMuubn5iv0wnRoVb6rgDrs,checked,checked,checked,Paid,Jared,,@wakyin @vibarco,checked
"andhim, Ameme & Malou - Feel The Love",Insomniac (Helene),4/23/2025,$350.00,$210.00,$0.00,https://www.instagram.com/reels/audio/2750625768475118?igsh=NTc4MTIwNjQ2YQ==,Completed,https://music.cobrand.com/promote/0a26c3fa-908d-4056-9cd8-2d3ae05b6fce/share?token=z2rj4M115KraHLyp5q2J7aJ7Uhh4-w-b0y4YtE2385E,checked,checked,checked,Paid,Jared,,"@andhim_music
@amemedj
@thisis.malou",checked
Swimming Pools - MY BAD Remix,My Bad,4/22/2025,$250.00,$135.00,$0.00,https://on.soundcloud.com/11iuYCGVmBNKjoM96,Completed,https://music.cobrand.com/promote/0689eb1f-859b-4e97-b93a-ecfe6076e4a2/share?token=YLsF8P-wSD64XVClPbiP3OnOJjS8n_W8PxqdmaMj6YY,checked,checked,checked,Paid,Jared,,@my_bad,checked
Charcom - IF ONLY FOR A SECOND,Charcom,4/18/2025,$400.00,$280.00,$0.00,https://open.spotify.com/track/4iaoQCOtPjp2ed8iM6pgi4,Completed,https://music.cobrand.com/promote/d6023fd2-8d89-4b85-b9ff-f605587a3d06/share?token=93ubCJT0i_oRk75m6aiaaxg3-kuF9pt7Fvz5V9jqahI,checked,checked,checked,Paid,Jared,,@charcom16,checked
Benny Brappo - Babababa,Benny Brappo,4/18/2025,$275.00,$192.00,$0.00,https://open.spotify.com/track/5lL9yELPXLusIkXaH5bjw8,Completed,https://music.cobrand.com/promote/586f9912-329f-4a40-9b2a-28428bcc9658/share?token=bDYw5siJJZuq7YB6N9dxvY8h0dRQs_abbCeahce484A,checked,checked,checked,Paid,Jared,,@bennybrappo,checked
Panic! At The Disco - BLAQOUT Remix,Blaqout,4/18/2025,$300.00,$202.00,$0.00,https://soundcloud.com/blaqoutdubstep/iwsnt-flip,Completed,https://music.cobrand.com/promote/1e71abb6-fe25-48ba-8d6e-599154b9a7eb/share?token=y4BNWkBrklfJKRuwPSKqXF357ldpQ-6PJaI2uX4Bm-I,checked,checked,checked,Paid,Jared,Need couple more posts,"@BlaqoutDubstep, @hydrosonix",checked
Daunter - Let You Go,Daunter,4/17/2025,$250.00,$135.00,$0.00,https://open.spotify.com/track/2IwIvnhAM0zqBAKR7vnteg,Completed,https://music.cobrand.com/promote/61f92812-fbc5-4a64-9626-391451a336e6/share?token=FfTarUTN3LbxOcPkYnQqLDFM74-UpGIkN54bDuBOJU0,checked,checked,checked,Paid,Jared,,@daunter_,checked
Edison Cole - Anyma Remix,Edison Cole,4/14/2025,$250.00,$135.00,$0.00,https://on.soundcloud.com/ex25GFtstooQKtuY7,Cancelled,,,,,Paid,Jared,,@itsedisoncole,checked
EAZLEY - The Days Remix,EAZLEY,4/14/2025,$250.00,$135.00,$0.00,https://soundcloud.com/iameazley/v7-the-days-flip/s-DclDQHGoOES?si=4dcc476ccd2d4ea09658025e1b2435d9&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,Completed,https://music.cobrand.com/promote/b864049a-05b8-45de-bfc1-18ba84bba6b3/share?token=-4TSXrztUBI2BwhABipSVGDBIGViz74LwD7ucrqDQk8,checked,checked,checked,Paid,Jared,,@iameazley,checked
"Gl0bal, Collixion - Chop Shop",Gl0bal,4/11/2025,$250.00,$135.00,$0.00,https://open.spotify.com/track/10v9kJRppLzyuCmpzY5rUu,Completed,https://music.cobrand.com/promote/8306997f-47c6-4c72-8f4e-6b7e84c6b35f/share?token=CAiXG7VE4P4kNyeD8PL8-zOyQ3e6kDJzHUoknW4Nh_Q,checked,checked,checked,Paid,Jared,,@gl0balofficial,checked
Ambrxse – WTFTF,Ambrxse,4/11/2025,$325.00,$227.50,$0.00,https://open.spotify.com/track/7JYJRDEELG8ZKdnKskHA5Z,Completed,https://music.cobrand.com/promote/5d1a75d8-d3df-4fbb-9b12-e185edd0bf23/share?token=grCwsiYoUusZ4Wy7L-7rH2H6yk3aEjn624ql_AFcgtA,checked,checked,checked,Paid,Jared,Problem with IG sound,@ambrxse,checked
ALIGN - Supercharger Remix,Align,4/11/2025,$200.00,$140.00,$0.00,https://soundcloud.com/louisthechild/supercharger-align-remix-feat,Completed,https://music.cobrand.com/promote/888c95b3-1c3a-4070-a3ba-b59288655a46/share?token=-TFGrQxWToWcmwurHpBIG5NYXzF2bsP-mw78l00DE_k,checked,checked,checked,Paid,Jared,,@align_music,checked
AHEE - Wubcraft,Insomniac (Helene),4/11/2025,$250.00,$135.00,$0.00,https://open.spotify.com/track/2LkaBcb2W9dH3dGyPCNJlD?si=kKrCxzHYQd60XP0sBGpnrw,Completed,https://music.cobrand.com/promote/f6df39e6-a793-412a-9da2-ff90faccce99/share?token=u8UPn5EpTQ8HkiL5MfzXRjA9o8tNIUyfNd7Cu0_qTLM,checked,checked,checked,Paid,Jared,,@iamahee,checked
LAYZ & RZRKT - HARDEST MFS,Insomniac (Helene),4/11/2025,$250.00,$135.00,$0.00,https://open.spotify.com/track/6sStFqQdlp0L4vEXk24Ms6?si=gbwUGzVMR2uleKXhG53o0w,Completed,https://music.cobrand.com/promote/8fd6ccf9-d861-4b52-b5e9-eace18938fcf/share?token=8BrjSFFFkJLAUjZVyl0c6_U-xDgskVbQKt-U_MnEaUE,checked,checked,checked,Paid,Jared,,@layzdubz @rzrktmusic,checked
